cui	term_type	omim_id
C0151721	PT	241100
C0151721	PT	307300
C0027145	PT	255900
C0024790	PHENO	311770
C0020474	PHENO	609708
C0020474	ETAL	144250
C0020474	ACR	144250
C0020474	PT	144250
C0025281	PT	156000
C0004364	PT	109100
C0020651	ET	146500
C0007384	ET	161400
C0019621	PT	604856
C0019621	ETAL	604856
C0007131	ET	211980
C0007131	PHENO	147575
C0085083	ACR	608115
C0085083	PT	608115
C0085083	PHENO	136435
C2936781	PT	160800
C2936781	PHENO	118425
C2936781	PHENO_ET	118425
C2936781	ACR	160800
C2936781	ETAL	160800
C1275126	ETAL	142680
C1275126	ACR	142680
C1275126	PT	142680
C1275126	PHENO	191190
C0011854	PT	222100
C0011854	ET	222100
C0011854	PT	612227
C0011854	ETAL	222100
C0011854	ACR	222100
C0011854	ACR	612227
C0022336	ACR	123400
C0022336	PT	123400
C0022336	PHENO	176640
C0022336	PHENO_ET	176640
C0026848	PHENO	590030
C0026848	PHENO	590075
C0162532	PT	176200
C0162532	ETAL	176200
C0162532	PHENO	600923
C0162532	ACR	176200
C0036337	ET	615232
C0036337	ETAL	181500
C0220754	PT	253260
C0220754	PHENO	609019
C0220754	ETAL	253260
C0027708	ETAL	194070
C0027708	PHENO	600185
C0027708	PHENO_ET	600185
C0027708	PT	194070
C0027708	PHENO	607102
C0027708	PHENO_ET	607102
C0027708	ACR	194070
C2931187	ACR	219800
C2931187	ETAL	219800
C2931187	PT	219800
C2931187	PHENO	606272
C0040997	ETAL	190400
C0040997	PT	190400
C0238357	ETAL	170500
C0238357	PT	170500
C0238357	PHENO	603967
C0238357	ACR	170500
C0027121	PT	160750
C0027773	ETAL	256450
C0027773	ETAL	601820
C0266383	PT	192000
C0026603	PT	158280
C0013264	ACR	310200
C0013264	ETAL	310200
C0013264	PHENO	300377
C0013264	PT	310200
C0271568	ETAL	262500
C0271568	PT	262500
C0271568	PHENO	600946
C0085580	ETAL	145500
C0085580	PT	145500
C0085580	PHENO	601699
C0003492	PT	120000
C0040021	PT	211480
C0040021	ETAL	211480
C1961835	ETAL	230800
C1961835	PT	230800
C1961835	PHENO	606463
C1961835	PHENO_ET	606463
C0752347	PT	127750
C0752347	PHENO_ET	163890
C0752347	PHENO	602569
C0752347	PHENO	163890
C0752347	ETAL	127750
C0752347	ACR	127750
C0025268	ACR	171400
C0025268	PT	171400
C0025268	PHENO	164761
C0025268	PHENO_ET	164761
C0025268	ETAL	171400
C0035305	PT	180050
C0238052	ETAL	213700
C0238052	PT	213700
C0238052	PHENO	606530
C0238052	ACR	213700
C0026705	ETAL	309900
C0026705	ACR	309900
C0026705	PT	309900
C0026705	PHENO	300823
C0003873	ACR	180300
C0003873	PT	180300
C0003873	PHENO_ET	607218
C0038454	ETAL	601367
C0086651	ETAL	253000
C0086651	ACR	253000
C0086651	PT	253000
C0086651	PHENO	612222
C0264886	PT	115080
C0042345	PT	192200
C0686347	PT	272620
C0030848	PT	171000
C1140680	PT	167000
C0034734	ETAL	179600
C0034734	PT	179600
C0023465	PT	151380
C0029434	PHENO	120150
C0000744	PT	200100
C0000744	PHENO	157147
C0000744	ACR	200100
C0000744	ETAL	200100
C0268581	ETAL	253270
C0268581	PT	253270
C0268581	PHENO	609018
C0041341	ACR	191100
C0041341	ETAL	191100
C0268490	ETAL	276700
C0268490	PT	276700
C0268490	PHENO	613871
C0268490	ACR	276700
C0010417	PHENO	146738
C0010417	PT	219050
C0010417	ETAL	219050
C0268631	ETAL	271980
C0268631	ACR	271980
C0268631	PT	271980
C0268631	PHENO	610045
C0037231	ETAL	270200
C0037231	PT	270200
