hgnc_id	symbol	status	entrez_id
28682	ZFP82	Approved	284406.0
23329	ZFP90	Approved	146198.0
14983	ZFP91	Approved	80829.0
33441	ZFP91-CNTF	Approved	386607.0
12865	ZFP92	Approved	139735.0
12868	ZFPL1	Approved	7542.0
19762	ZFPM1	Approved	161882.0
16700	ZFPM2	Approved	23414.0
50698	ZFPM2-AS1	Approved	102723356.0
17277	ZFR	Approved	51663.0
29189	ZFR2	Approved	23217.0
38030	ZFRP1	Approved	100129438.0
12869	ZFX	Approved	7543.0
40617	ZFX-AS1	Approved	100873922.0
12870	ZFY	Approved	7544.0
38798	ZFY-AS1	Approved	107987337.0
13180	ZFYVE1	Approved	53349.0
6775	ZFYVE9	Approved	9372.0
33359	ZFYVE9P1	Approved	100289259.0
39046	ZFYVE9P2	Approved	100420972.0
20756	ZFYVE16	Approved	9765.0
20758	ZFYVE19	Approved	84936.0
20760	ZFYVE21	Approved	79038.0
20761	ZFYVE26	Approved	23503.0
26559	ZFYVE27	Approved	118813.0
29334	ZFYVE28	Approved	57732.0
30961	ZG16	Approved	653808.0
30456	ZG16B	Approved	124220.0
37245	ZGLP1	Approved	100125288.0
15948	ZGPAT	Approved	84619.0
25654	ZGRF1	Approved	55345.0
12871	ZHX1	Approved	11244.0
42975	ZHX1-C8orf76	Approved	100533106.0
18513	ZHX2	Approved	22882.0
15935	ZHX3	Approved	23051.0
12872	ZIC1	Approved	7545.0
12873	ZIC2	Approved	7546.0
12874	ZIC3	Approved	7547.0
20393	ZIC4	Approved	84107.0
40920	ZIC4-AS1	Approved	100873950.0
20322	ZIC5	Approved	85416.0
33104	ZIK1	Approved	284307.0
38031	ZIK1P1	Approved	100131493.0
12875	ZIM2	Approved	23619.0
51304	ZIM2-AS1	Approved	101929059.0
16366	ZIM3	Approved	114026.0
13101	ZKSCAN1	Approved	7586.0
25677	ZKSCAN2	Approved	342357.0
13853	ZKSCAN3	Approved	80317.0
13854	ZKSCAN4	Approved	387032.0
12867	ZKSCAN5	Approved	23660.0
12955	ZKSCAN7	Approved	55888.0
49867	ZKSCAN7P1	Approved	100419827.0
12983	ZKSCAN8	Approved	7745.0
29377	ZMAT1	Approved	84460.0
26433	ZMAT2	Approved	153527.0
29983	ZMAT3	Approved	64393.0
